,propertyCode,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,distance,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,newDevelopmentFinished,typology_inmo,hasparking,parking_price_included,parking_price,zipcode
0,826301.0,bj,430000.0,chalet,sale,162.0,False,4.0,3,Vila-Seca,Tarragona,Vila-Seca,es,41.1217139,1.1546855,5330.0,False,good,False,True,2654.0,False,False,False,False,False,False,True,urban,True,True,0.0,43201
1,1030384.0,5,310000.0,penthouse,sale,180.0,True,3.0,2,Calle Ibon de Catieras,Zaragoza,Zaragoza,es,41.6566134,-0.9371802,4117.0,False,good,False,True,1722.0,True,False,True,False,False,False,True,urban,True,True,0.0,50011
2,1045615.0,bj,129000.0,chalet,sale,501.0,False,6.0,3,Les Borges del Camp,Tarragona,Les Borges del Camp,es,41.1698636,1.0210307,7526.0,False,good,False,True,257.0,False,False,False,False,False,False,True,urban,False,False,0.0,43350
3,1266023.0,5,250000.0,flat,sale,180.0,True,5.0,2,Centre,Tarragona,Reus,es,41.1560194,1.1047168,357.0,False,good,False,True,1389.0,False,False,False,False,False,False,True,urban,False,False,0.0,43201
4,1457050.0,bj,25000.0,chalet,sale,248.0,False,5.0,1,Calle San Pascual,Teruel,Santa Eulalia,es,40.5691821,-1.3135921,55596.0,False,renew,False,True,101.0,False,False,False,False,False,False,True,urban,False,False,0.0,44360
5,25725076.0,bj,107000.0,flat,sale,75.0,True,3.0,1,Moncófar playa,Castellón,Moncófar,es,39.7979975,-0.1330529,8948.0,True,good,False,True,1427.0,True,False,False,False,False,False,True,urban,False,False,0.0,12593
6,28275758.0,0,750000.0,flat,sale,320.0,False,5.0,4,Puigcerver s/n,Tarragona,Cambrils,es,41.084052,1.101057,7900.0,False,good,False,True,2344.0,False,False,False,False,False,False,True,urban,False,False,0.0,43850
7,28340068.0,bj,315000.0,flat,sale,77.0,False,2.0,1,Avenida de la diputació,Tarragona,Cambrils,es,41.0673401,1.0924385,9827.0,False,good,False,False,4091.0,False,False,False,False,False,False,True,urban,False,False,0.0,43850
8,28818666.0,bj,370000.0,chalet,sale,301.0,False,5.0,5,Calle Paraiso,Zaragoza,Zaragoza,es,41.661252,-0.946058,5737.0,True,good,False,True,1229.0,True,True,False,False,False,False,True,residential,True,True,0.0,50011
9,29068886.0,bj,375000.0,chalet,sale,262.0,False,4.0,3,barrio Jardins de Vilafortuny - Más d'en Bosch,Tarragona,Cambrils,es,41.0862676,1.0989944,7671.0,False,good,False,True,1431.0,False,False,False,False,False,False,True,residential,True,True,0.0,43850
10,29221612.0,4,447000.0,flat,sale,85.0,True,3.0,2,barrio Perchel sur - El Bulto,Málaga,Málaga,es,36.7141481,-4.4338082,2485.0,True,good,False,True,5259.0,False,False,False,False,False,False,True,urban,True,True,0.0,29002
11,29237886.0,4,350000.0,flat,sale,110.0,True,5.0,2,barrio Gran Vía,València,València,es,39.4663869,-0.3660587,1042.0,False,renew,False,True,3182.0,False,False,False,False,False,False,True,urban,False,False,0.0,46005
12,29266448.0,7,290000.0,flat,sale,90.0,True,2.0,2,Calle Duque de Mandas,València,València,es,39.4910887,-0.3633964,2047.0,False,good,False,True,3222.0,False,False,False,False,False,False,True,urban,True,True,0.0,46020
13,30416538.0,5,167000.0,flat,sale,110.0,True,4.0,2,barrio Zona Parque Geólogo José Royo Gómez,Castellón,Castellón de la Plana / Castello de la Plana,es,39.9809786,-0.031873,13409.0,False,good,False,False,1518.0,False,False,False,False,False,False,True,urban,True,True,0.0,12003
14,30654992.0,3,360000.0,flat,sale,116.0,True,4.0,2,Encamp,Andorra,Encamp,es,42.5373439,1.5812409,22425.0,False,good,False,True,3103.0,False,False,False,False,False,False,True,urban,True,True,0.0,AD200
15,31332340.0,2,89000.0,flat,sale,37.0,True,1.0,1,Calle de Berlín,Tarragona,Salou,es,41.0773929,1.1393322,8988.0,False,good,False,True,2405.0,False,False,False,False,False,False,True,urban,False,False,0.0,43840
16,31395972.0,5,138000.0,flat,sale,80.0,True,3.0,1,Calle Vespella,Tarragona,Tarragona,es,41.1241585,1.2129995,9376.0,False,good,False,True,1725.0,True,False,False,False,False,False,True,urban,True,True,0.0,43006
17,31422548.0,1,193000.0,flat,sale,95.0,True,3.0,2,Calle san luis de francia,Zaragoza,Zaragoza,es,41.6435188,-0.8695994,1535.0,False,good,False,True,2032.0,True,False,True,False,False,False,True,urban,True,True,0.0,50013
18,31572620.0,bj,470000.0,countryHouse,sale,350.0,False,4.0,3,Rocafort,València,Rocafort,es,39.5315297,-0.4118512,7035.0,False,good,False,True,1343.0,True,False,False,False,False,False,True,rural,True,True,0.0,46111
19,31998778.0,bj,425000.0,chalet,sale,196.0,False,6.0,3,Calle de valència,Tarragona,Salou,es,41.0740619,1.1266208,9109.0,False,good,False,True,2168.0,False,False,False,False,False,False,True,urban,False,False,0.0,43840
20,32111788.0,bj,540000.0,chalet,sale,240.0,False,8.0,4,Guils de Cerdanya,Girona,Guils de Cerdanya,es,42.44579,1.88289,36134.0,False,good,False,True,2250.0,False,False,False,False,False,False,True,urban,True,True,0.0,17528
21,32111820.0,bj,455000.0,chalet,sale,340.0,False,6.0,3,Estavar,Cerdanya Francesa,Estavar,es,42.4678294,1.9943074,45596.0,False,good,False,True,1338.0,False,False,False,False,False,False,True,urban,True,True,0.0,66800
