index,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,superTopHighlight,parkingSpace,labels,newDevelopmentFinished
10,99755515,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c5/9f/e3/1053676999.jpg,A-bl1,14,3,185000.0,flat,sale,93.0,True,4,1,Calle de la Blanqueria,Barcelona,Barcelona,Ciutat Vella,es,Sant Pere - Santa Caterina i la Ribera,41.3851031,2.1824096,False,https://www.idealista.com/inmueble/99755515/,1996,"IM2 pone a su disposición esta vivienda de 93 m2, situada en el corazón del barrio de santa caterina, es una segunda planta real de altura en finca sin ascensor, consta de 3 dormitorios, salón-comedor, cuarto de baño, cocina y un pequeño trastero, la finca esta por rehabilitar con presupuestos ya aprobados, por lo tanto el comprador no tendra que pagar estos gastos de obras de la comunidad. Zona llena de vida, comercios, servicios y diversos puntos de interés turístico, asi como muy bien comunicada con metro y autobuses.",False,renew,False,False,1989.0,{'typology': 'flat'},"{'subtitle': 'Sant Pere - Santa Caterina i la Ribera, Barcelona', 'title': 'Piso en Calle de la Blanqueria'}",False,False,False,False,False,False,,,
11,97308292,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/54/4a/16/975424755.jpg,560174546,1,,366200.0,flat,sale,107.0,False,1,2,Calle de Vilardell,Barcelona,Barcelona,Sants-Montjuïc,es,Hostafrancs,41.3745327,2.1440839,False,https://www.idealista.com/inmueble/97308292/,2014,"Vivienda distribuida en 2 habitaciones, 2 baños, cocina y salón-comedor. Edificio ubicado en un barrio residencial consolidado cerca de zonas verdes valoradas como el Parque Plaça de la Vidriera, ideal para pasear y disfrutar del aire libre. Equipamientos deportivos municipales y centros educativos como la Escuela Gayarre. Se encuentra cercano al centro de salud, en zona dotada de superficies comerciales de grandes dimensiones y tiendas de barrio necesarias, ocio y restauración. Todo ello, además, con excelentes comunicaciones por transporte público (autobús) y carreteras.",False,good,False,False,3422.0,{'typology': 'flat'},"{'subtitle': 'Hostafrancs, Barcelona', 'title': 'Piso en Calle de Vilardell'}",False,False,False,False,False,False,,,
12,98034067,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/53/d2/c7/998858147.jpg,06070,12,bj,366200.0,flat,sale,200.0,False,1,1,Calle Vilardell,Barcelona,Barcelona,Sants-Montjuïc,es,Hostafrancs,41.3730944,2.1439707,False,https://www.idealista.com/inmueble/98034067/,2148,"Piso de 200m2 tipo dúplex en 2 plantas (planta baja y planta sótano) en calle Vilardell (zona Hostafrancs). Tiene cédula de habitabilidad. Dispone de 100m2 en planta baja y 100 m2 en planta sótano con salida a 50 m2 de terraza jardín exterior a patio de manzana. Dispone de 4 salones, 1 dormitorio doble, cocina abierta y 1 baño con ducha. Suelos de parquet. Finca de 1936.",False,renew,False,False,1831.0,{'typology': 'flat'},"{'subtitle': 'Hostafrancs, Barcelona', 'title': 'Piso en Calle Vilardell'}",False,False,False,False,False,False,,,
13,99579382,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/46/a1/6f/1048154523.jpg,1107891,19,bj,366200.0,flat,sale,107.0,True,1,2,Calle del Vidriol,Barcelona,Barcelona,Sants-Montjuïc,es,Hostafrancs,41.372889,2.1412739,False,https://www.idealista.com/inmueble/99579382/,2304,Bajo con dos plantas diáfanas. En la planta baja tiene cocina americana y suit con baño completo. En el sótano tenemos un pequeño salón que da a una terraza privada. Una habitación doble junto a un baño completo y un pequeño estudio interior. El piso está para reformar completamente. INMUEBLES WOW EN PERIODO DE PUJAS DESDE EL 14/12/2022 AL 20/12/2022 A LAS 18:00.,False,good,False,False,3422.0,{'typology': 'flat'},"{'subtitle': 'Hostafrancs, Barcelona', 'title': 'Piso en Calle del Vidriol'}",False,False,False,False,False,False,,,
14,96918486,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a0/e8/98/960395927.jpg,INV27CA74-INVXG1,5,7,360000.0,flat,sale,60.0,True,1,1,Calle del Capità Arenas,Barcelona,Barcelona,Les Corts,es,Pedralbes,41.3912641,2.1266005,False,https://www.idealista.com/inmueble/96918486/,2715,"Exclusivo piso en la calle Capitán Arenas, cerca de tiendas y servicios, al lado de Avenida Diagonal, El Corte Inglés, centro Comercial L'illa y Clínica CIMA. Viviendas en ESTADO ORIGINAL para reformar y redistribuir a su gusto pues son pisos prácticamente diáfanos (se puede mostrar) y también posibilidad de venta con reforma incluida. Las zonas comunes, patios, cubierta. reformadas completamente. Pregúntenos por las diferentes tipologías ¡seguro que tenemos el piso que le gusta! Venga a verlos, ¡oportunidad única por la zona!",False,renew,False,True,6000.0,{'typology': 'flat'},"{'subtitle': 'Pedralbes, Barcelona', 'title': 'Piso en Calle del Capità Arenas'}",False,False,False,False,False,False,,,
15,99240983,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4e/79/15/1037569029.jpg,,9,3,275000.0,flat,sale,85.0,True,4,1,Gran Via de les Corts Catalanes,Barcelona,Barcelona,Sants-Montjuïc,es,La Font de la Guatlla,41.3714247,2.147212,False,https://www.idealista.com/inmueble/99240983/,2166,"Gestión patrimonial Barna les ofrece esta oportunidad en la calle Gran Vía de les Corts Catalanes. ( a dos minutos a pie de plaza España). El inmueble se encuentra en una 3a planta real, en una finca con ascensor. El piso tiene 85 m2 que se dividen en: -Salón-comedor con salida a la calle con orientación oeste. -Habitación doble exterior con sol de tarde. -Habitación mediana exterior con sol de tarde. -Cocina independiente a reformar. -Un baño completo ( posibilidad de sacar un segundo baño). -Habitación individual grande con cabida para cama, escritorio y armario Habitación individual. Cabe destacar de este inmueble que tiene tres estancias con luz natural y sobretodo la ubicación donde se encuentra a dos minutos de plaza España con líneas de autobuses y metro. No dude en contactarnos 686408074 616793910  +++.",False,renew,False,True,3235.0,{'typology': 'flat'},"{'subtitle': 'La Font de la Guatlla, Barcelona', 'title': 'Piso en Gran Via de les Corts Catalanes'}",False,False,False,False,False,False,,,
16,99987518,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b8/1e/d4/1063629199.jpg,Y80428,17,bj,250000.0,flat,sale,65.0,False,3,1,"Calle de Provença, 70",Barcelona,Barcelona,Eixample,es,La Nova Esquerra de l'Eixample,41.3836813,2.1470343,True,https://www.idealista.com/inmueble/99987518/,1147,"Superficie total 65 m², piso superficie útil 65 m², hab. individuales: 2, habitaciones dobles: 2, 1 baño, adaptado a personas con discapacidad, aire acondicionado (frío y calor), ascensor, carpintería exterior (aluminio), cocina, comedor, estado conservación: a estrenar, gas, orientación sur, portero auto. , puerta blind. , sistema de seguridad, teléfono, terraza, suelos: parquet, interior.",False,good,False,True,3846.0,{'typology': 'flat'},"{'subtitle': ""La Nova Esquerra de l'Eixample, Barcelona"", 'title': 'Piso en Calle de Provença, 70'}",False,False,False,False,False,False,,,
17,98396743,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/84/c9/69/1015267027.jpg,1578,22,6,275000.0,flat,sale,86.0,True,4,1,Gran Via de les Corts Catalanes,Barcelona,Barcelona,Sants-Montjuïc,es,La Font de la Guatlla,41.369491,2.1440638,False,https://www.idealista.com/inmueble/98396743/,2481,"Oportunidad de inversión ¡ Varios pisos disponibles en rentabilidad en Gran Via de Les Corts Catalanes, zona Sants, ideal para inversores. Este piso cuenta con 4 habitaciones, un baño, cocina independiente con lavadero, un trastero interno y terraza. Características generales: Edificio de 1954 con ascensor. Tamaño: 87.60m2 Piso con contratos de alquiler a término (21-06-2026). Renta mensual: 692,87 Pisos disponibles todos ellos alquilados: 4ª3 87,60 m2 320.000 Atico 3 84,40 m2 335.000 1º 3ª 87,60 m2 325.000 4º 2ª 79.50 m2 325.000 6º 1ª 86,75 m 2 325.000 Se encuentran ubicados en la zona de Sants - Montjuic. Es una zona céntrica, con muchos locales, supermercados, bares y restaurantes a su alrededor. Ideal para inversores ya que es una zona muy demanda para el alquiler. Muy bien conectado, a 5 minutos andando de Plaza spaña con su amplia opción de lineas y medios de transporte (metros L1, L3, L8, buses y trenes). ¿Buscando comprar o alquilar piso? Visita colibree. com y descubre los inmuebles disponibles. Live the UnReal Estate Colibree, una plataforma independiente de agentes inmobiliarios locales.",False,good,False,True,3198.0,{'typology': 'flat'},"{'subtitle': 'La Font de la Guatlla, Barcelona', 'title': 'Piso en Gran Via de les Corts Catalanes'}",True,False,False,False,False,False,,,
18,98396732,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bb/60/41/1015266976.jpg,1576,22,4,275000.0,flat,sale,79.0,True,4,1,Gran Via de les Corts Catalanes,Barcelona,Barcelona,Sants-Montjuïc,es,La Font de la Guatlla,41.3700637,2.1424982,False,https://www.idealista.com/inmueble/98396732/,2495,"Oportunidad de inversión ¡ Varios pisos disponibles en rentabilidad en Gran Via de Les Corts Catalanes, zona Sants, ideal para inversores. Este piso cuenta con 4 habitaciones, un baño, cocina independiente con lavadero, un trastero interno y terraza. Características generales: Edificio de 1954 con ascensor. Tamaño: 79.50 m2 Piso con contratos de alquiler a término (31/07/2026). Renta: 639. Pisos disponibles todos ellos alquilados: 4ª3 87,60 m2 320.000 Atico 3 84,40 m2 335.000 1º 3ª 87,60 m2 325.000 4º 2ª 79.50 m2 325.000 6º 1ª 86,75 m 2 325.000 Se encuentran ubicados en la zona de Sants - Montjuic. Es una zona céntrica, con muchos locales, supermercados, bares y restaurantes a su alrededor. Ideal para inversores ya que es una zona muy demanda para el alquiler. Muy bien conectado, a 5 minutos andando de Plaza spaña con su amplia opción de lineas y medios de transporte (metros L1, L3, L8, buses y trenes). ¿Buscando comprar o alquilar piso? Visita colibree. com y descubre los inmuebles disponibles. Live the UnReal Estate Colibree, una plataforma independiente de agentes inmobiliarios locales.",False,renew,False,False,3481.0,{'typology': 'flat'},"{'subtitle': 'La Font de la Guatlla, Barcelona', 'title': 'Piso en Gran Via de les Corts Catalanes'}",True,False,False,False,False,False,,,
19,98397910,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/95/a8/e7/1015266925.jpg,1575,22,1,275000.0,flat,sale,87.0,True,4,1,Gran Via de les Corts Catalanes,Barcelona,Barcelona,Sants-Montjuïc,es,La Font de la Guatlla,41.3725061,2.1426123,False,https://www.idealista.com/inmueble/98397910/,2268,"Oportunidad de inversión ¡ Varios pisos disponibles en rentabilidad en Gran Via de Les Corts Catalanes, zona Sants, ideal para inversores. Este piso cuenta con 4 habitaciones, un baño, cocina independiente con lavadero, un trastero interno y terraza. Características generales: Edificio de 1954 con ascensor. Tamaño: 87.60m2 Piso con contratos de alquiler a término (15-03-2025). Renta: 706,60 Pisos disponibles todos ellos alquilados: 4ª3 87,60 m2 320.000 Atico 3 84,40 m2 335.000 1º 3ª 87,60 m2 325.000 4º 2ª 79.50 m2 325.000 6º 1ª 86,75 m 2 325.000 Se encuentran ubicados en la zona de Sants - Montjuic. Es una zona céntrica, con muchos locales, supermercados, bares y restaurantes a su alrededor. Ideal para inversores ya que es una zona muy demanda para el alquiler. Muy bien conectado, a 5 minutos andando de Plaza spaña con su amplia opción de lineas y medios de transporte (metros L1, L3, L8, buses y trenes). ¿Buscando comprar o alquilar piso? Visita colibree. com y descubre los inmuebles disponibles. Live the UnReal Estate Colibree, una plataforma independiente de agentes inmobiliarios locales.",False,renew,False,True,3161.0,{'typology': 'flat'},"{'subtitle': 'La Font de la Guatlla, Barcelona', 'title': 'Piso en Gran Via de les Corts Catalanes'}",True,False,False,False,False,False,,,
