,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,parkingSpace,newDevelopmentFinished,labels,district
10,99237005,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0a/b3/78/1051802426.jpg,60688615,9,,26900.0,chalet,sale,196.0,False,3,1,"Calle San Jaime, 12",Teruel,Alcañiz,es,41.0500558,-0.1346827,True,https://www.idealista.com/inmueble/99237005/,58840,"Vivienda en Alcañiz. Casa de 3 plantas, consta de salón-comedor, cocina, 3 habitaciones y 1 baño. Ubicada en el casco urbano de la localidad muy cerca de los Jardines Públicos. Zona residencial consolidad que dispone de todos los servicios básicos a su alcance, con oferta comercial (superficies de grandes dimensiones y tiendas de barrio necesarias) y educativa como el Colegio Público Juan Lorenzo Palmireno, variedad de servicios de restauración y zonas verdes valoradas en las que poder realizar actividades al aire libre como el Park del Río Guadalupe. Vivienda para quienes quieran vivir en una zona tranquila muy bien comunicada como para aquellos que busquen invertir para arrendamiento con una muy buena rentabilidad. Todo ello, además, con excelentes comunicaciones por transporte público (autobús) y carreteras N-211.   Solicite más información sin ningún tipo de compromiso.",False,renew,False,,137.0,{'typology': 'chalet'},"{'subtitle': 'Alcañiz', 'title': 'Chalet en Calle San Jaime, 12'}",False,False,False,False,False,False,,,,
11,99489545,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0a/3e/6b/1045597511.jpg,,16,,44500.0,chalet,sale,200.0,False,4,1,"centro, 30",Teruel,Hijar,es,41.1732193,-0.4490575,True,https://www.idealista.com/inmueble/99489545/,43683,Se vende casa en el centro del puelo de hijar. Vivienda a reformar a dos calles. 210 metros 3 plantas 4 habitaciones  2 baños  garaje  jardin.,False,renew,False,,223.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Hijar', 'title': 'Casa independiente en centro, 30'}",False,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,
12,99173557,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/88/e3/a7/1035961269.jpg,8208,38,,120000.0,chalet,sale,736.0,False,1,1,"Calle Mayor, 9",Zaragoza,Daroca,es,41.1140167,-1.4104269,True,https://www.idealista.com/inmueble/99173557/,57362,"Daroca, en calle Mayor 9, en la entrada de la población, antigua fonda en venta, parcela con casa para rehabilitar o construir, 337 m² de parcela a tres calles, actualmente 736 m² construidos.  Posibilidad de realizar edificio de planta baja más dos plantas con 12 pisos de 64 m², actualmente hemos comercializado varias inmuebles en la localidad y observamos demanda de pisos en venta.  También es un sitio ideal para hacerse una gran casa con jardín, piscina, etc.  No dejes de venir a verla si tienes interés en algo así.",False,renew,False,,163.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Daroca', 'title': 'Casa independiente en Calle Mayor, 9'}",False,False,False,False,False,False,,,,
13,97125672,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/34/a6/77/967142827.jpg,81771,62,,167000.0,chalet,sale,266.0,False,8,2,"Calle San Antonio, 14",Teruel,Monreal del Campo,es,40.7877519,-1.3548538,True,https://www.idealista.com/inmueble/97125672/,47894,"Monreal del Campo, provincia de Teruel, a 58 km de Teruel y a 115 km de Zaragoza, con buenos accesos y circulación por autovía.  Edificio del año 1972. Casa de 266 m² construidos en el centro del pueblo, con garaje, local-tienda y solar urbano de 125 m².  La casa de 183 m² útiles aproximados se distribuye de la siguiente manera:  Planta calle, amplio garaje y almacén de 33 m², local-tienda, antigua carnicería de 30 m². Solar urbano en la parte de atrás de 125 m², se puede realizar el acceso al mismo exteriormente o desde el mismo garaje. Planta primera y segunda, de unos 62 m² útiles aproximados cada una, actualmente hay dos viviendas, consta cada planta de salón, cocina, baño y tres habitaciones.  Tercera planta buhardilla de 50 m² útiles aproximados con acceso a terraza solarium de 30 m².  Calefacción individual a gasoil.  Para reformar en general a su gusto, estupenda orientación con mucha luz y muy soleado.",False,renew,False,,628.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Monreal del Campo', 'title': 'Casa independiente en Calle San Antonio, 14'}",False,False,False,False,False,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",,,
14,99160075,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/34/e9/bd/1035509746.jpg,8209,51,,56000.0,chalet,sale,200.0,False,4,2,"Calle Paradas, 12",Teruel,Hijar,es,41.17605,-0.4510936,True,https://www.idealista.com/inmueble/99160075/,43802,"Híjar, población de la comarca Bajo Martín en la provincia de Teruel, calle Paradas, 12, 200 m² construidos en tres plantas y corral.  Aproximadamente 150 m² útiles de vivienda más patio y terraza, distribuidos de la siguiente manera:  planta baja: amplio zaguán, cuarto a modo de bodeguilla, un aseo y salida a patio o corral interior de unos 55 m², éste muy íntimo y privado que permite tener un pequeño jardín, cenador, etc.  Primera planta: salón comedor, cocina y baño completo.  Segunda planta: salón con estufa de leña y una terraza con vistas al corral y dos habitaciones amplias.  Tercera planta: estudio o dormitorio auxiliar.  Calefacción por estufa de leña, sistemas individuales eléctricos u otros, puertas imitación pino, carpintería exterior de aluminio y de madera, suelos de tarima y de gres.  Junto a la Iglesia de Santa María la Mayor y parque del Castillo, en una población con todos los servicios y comunicaciones a su alcance. Para vivir en el pueblo, vacaciones o para los fines de semana, ven a verla, te va a encantar.",False,good,False,,280.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Hijar', 'title': 'Casa independiente en Calle Paradas, 12'}",False,False,False,False,False,False,,,,
15,97022188,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c8/5f/6f/963966345.jpg,8176,48,1,93000.0,flat,sale,112.0,True,4,2,"Plaza los Corporales, 3",Zaragoza,Daroca,es,41.1150111,-1.4141191,True,https://www.idealista.com/inmueble/97022188/,57688,"Daroca, en el centro del pueblo, junto a catedral y Ayuntamiento, plaza de los Corporales, 3, edificio del año 1988.  Primera planta sin ascensor de 100 m² útiles aproximados.  Distribuido en cuatro habitaciones amplias, salón, cocina y dos baños, balcón exterior en chaflán y terraza interior.  Para actualizar en general, puertas de sapelly, carpintería exterior de madera con cristal doble y suelo de terrazo y calefacción por hilo radiante.  Si quiere el comprador pueden quedarse los muebles de las fotografías, garaje y trastero opcional en calle Mayor 69, junto detrás del Ayuntamiento.  Vivienda muy luminosa y bien ubicada en el pueblo.  Ven a verlo y si te interesa llegaremos a un acuerdo.",False,good,False,False,830.0,{'typology': 'flat'},"{'subtitle': 'Daroca', 'title': 'Piso en Plaza los Corporales, 3'}",False,False,False,False,False,False,,,,
16,96883786,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bb/2a/99/959428658.jpg,124187,37,1,34000.0,countryHouse,sale,141.0,False,4,2,Paniza,Zaragoza,Paniza,es,41.2824007,-1.2133948,False,https://www.idealista.com/inmueble/96883786/,56386,"Estupenda casa rústica de 141m² construidos en la que reina la paz para el descanso, situada en el centro de Paniza, municipio que ofrece todos los servicios en un entorno activo y dinámico. La vivienda está para actualizar y tiene tres plantas de altura que pueden destinarse a vivienda, o alojamiento de Turismo rural. Se distribuye de la siguiente manera: en la planta calle cuenta con acceso a bodega, cocina comedor, una habitación, un baño, además de un patio interior. En la primera, tres habitaciones y un baño. La segunda planta está diáfana ofreciendo múltiples alternativas. En cuanto a las calidades, cuenta con calefacción de gasoil, carpintería exterior de aluminio, carpintería interior de madera y suelo de terrazo, de fácil mantenimiento y gran resistencia. Paniza se encuentra a tan sólo 7km de Cariñena y 50km de Zaragoza por la Autovía Mudéjar, a las faldas de la Sierra de Algairen, donde disfrutar de un entorno natural inigualable. De particular a particular. Sin comisiones. Llámanos y visita esta vivienda. h1o2u4s1e8l7l.",False,renew,False,,241.0,"{'typology': 'countryHouse', 'subTypology': 'casale'}","{'subtitle': 'Paniza', 'title': 'Casa rural'}",True,False,False,False,False,False,,,,
17,96696276,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f5/a2/9e/953943456.jpg,,39,,85000.0,chalet,sale,120.0,False,3,2,Calle la Iglesia,Teruel,Loscos,es,41.0807972,-1.0451804,False,https://www.idealista.com/inmueble/96696276/,30181,"TECNOCASA Inmobiliaria Zaragoza Desarrollo Barrio San José 21, vende en exclusiva CASA INDEPENDIENTE en LOSCOS. El inmueble cuenta con 120 metros cuadrados construidos, 100 de ellos útiles de vivienda. La vivienda esta totalmente reformada y se distribuye en cocina, gran salón de 20 metros con chimenea, tres dormitorios dobles. Dos baños, uno en planta baja y otro en segunda planta. En Tecnocasa facilitamos el acceso a la financiación de nuestros clientes, a través de KIRON, la empresa de intermediación financiera del grupo Tecnocasa, con convenios nacionales con las principales entidades de España. Podemos llegar a conseguir hasta el 100% del valor de compraventa. Por eso, invitamos a todas las personas a las que podría interesarles esta vivienda, a contactar con nosotros para realizar un estudio financiero personalizado y concertar una visita sin ningún tipo de compromiso.",False,good,False,,708.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Loscos', 'title': 'Casa independiente en Calle la Iglesia'}",True,False,False,False,False,False,,,,
18,98646896,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d0/04/d3/1019184003.jpg,SMB01,34,,35000.0,countryHouse,sale,60.0,False,3,1,Calle San Ramón,Teruel,Baguena,es,41.0390242,-1.355427,False,https://www.idealista.com/inmueble/98646896/,49813,"Se venden DOS PROPIEDADES JUNTAS, Casa y Solar en BÁGUENA, Teruel. La casa esta compuesta de 3 plantas. En planta baja planta nos encontramos con salón comedor, una pequeña despensa y la cocina. En la primera planta esta situado el cuarto de baño con plato de ducha y una habitación doble. Y por último subiendo una planta más encontramos dos habitaciones individuales.  La casa esta muy bien conservada, el tejado esta rehabilitado recientemente. El Solar se encuentra justo enfrente de la casa.  Tiene una dimensión de 30m2. Barbacoa de obra, trastero de 4m2 y una zona para dejar el coche. El techo esta prácticamente nuevo.",True,good,False,,583.0,"{'typology': 'countryHouse', 'subTypology': 'casaDePueblo'}","{'subtitle': 'Baguena', 'title': 'Casa de pueblo en Calle San Ramón'}",True,False,False,False,False,False,,,,
19,97890316,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7d/95/98/994218319.jpg,RFH-00048,47,,50000.0,chalet,sale,104.0,False,4,1,"Calle Arrabal, 54",Teruel,Cucalon,es,41.0852062,-1.2143851,True,https://www.idealista.com/inmueble/97890316/,41475,"¡Si estas buscando una casita en un entorno rural a un precio muy bueno, esta es tu oportunidad!      Alejado de tráficos, bullicios y con la tranquilidad que te aporta el pueblo, os presentamos esta vivienda ubicada en Cucalón, municipio ubicado a 20 minutos de Calamocha como capital de comarca y a 1 hora de Teruel y Zaragoza.    La vivienda cuenta con 2 plantas distribuidas de la siguiente manera:    Planta baja:    Salón, Baño, cocina y recibidor.    Planta primera:    4 habitaciones.    Desde la calle tenemos acceso a un precioso patio con columpios, chimenea y entrada a una bodega muy bonita, tallada en piedra y con hogar, aquí podremos disfrutar de esos fines de semana entre familiares y amigos.    Si te gusta lo que ves, no dudes en consultarnos!",False,good,False,,481.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Cucalon', 'title': 'Casa independiente en Calle Arrabal, 54'}",False,False,False,False,False,False,,,,
