Columna1;propertyCode;floor;price;propertyType;operation;size;exterior;rooms;bathrooms;address;province;municipality;country;latitude;longitude;distance;hasVideo;status;newDevelopment;hasLift;priceByArea;hasPlan;has3DTour;has360;hasStaging;superTopHighlight;topNewDevelopment;newDevelopmentFinished;typology_inmo;hasparking;parking_price_included;parking_price;zipcode
29;35293864.0;bj;455000;chalet;sale;406;False;6;4;Travesía del Gessamⅰ;Tarragona;Castellvell del Camp;es;411.921.075;11.020.799;4177;False;good;False;True;1121;False;False;False;False;False;False;True;urban;True;True;0;43392
30;35345184.0;bj;720000;chalet;sale;257;False;7;2;Plaza del mercadal;Tarragona;Reus;es;411.391.364;10.974.243;1988;False;good;False;True;2802;False;False;False;False;False;False;True;urban;True;True;0;43201
31;35345212.0;bj;600000;chalet;sale;500;False;5;4;Calle de Salvador Dalí, 14;Tarragona;Salou;es;410.754.008;11.533.646;9595;False;good;False;True;1200;False;False;False;False;False;False;True;residential;True;True;0;43840
32;35345500.0;2;223000;flat;sale;45;True;1;1;Salou de Llevant;Tarragona;Salou;es;410.733.198;11.375.272;9383;False;good;False;True;4956;False;False;False;False;False;False;True;urban;False;False;0;43840
33;35901410.0;6;798000;flat;sale;218;True;5;2;Calle de Trafalgar;Barcelona;Barcelona;es;413.879.241;21.751.824;436;True;good;False;True;3661;True;False;True;False;False;False;True;urban;False;False;0;8003
34;35935516.0;bj;63000;countryHouse;sale;120;False;3;1;Calle d'Avall s/n;Lleida;Tremp;es;421.519.907;0.9501902;47709;False;good;False;True;525;False;False;False;False;False;False;True;rural;False;False;0;22583
35;36090972.0;1;220000;flat;sale;95;True;3;2;Calle de Pierre Vilar;Tarragona;Salou;es;4.108.148;11.273;8307;False;good;False;True;2316;False;False;False;False;False;False;True;urban;True;True;0;43840
36;36139956.0;bj;875000;chalet;sale;498;False;5;6;barrio Vilafortuny;Tarragona;Cambrils;es;41.074.982;11.018.279;8901;True;good;False;True;1757;True;False;False;False;False;False;True;urban;True;True;0;43850
37;36560540.0;bj;80000;chalet;sale;414;False;3;2;Sort;Lleida;Sort;es;424.516;107.395;33379;False;good;False;True;193;False;False;False;False;False;False;True;urban;False;False;0;25560
38;36802024.0;bj;330000;chalet;sale;222;False;4;3;Calle grenoble, 4;Tarragona;Cambrils;es;410.758.997;10.914.132;8899;False;good;False;True;1486;False;False;False;False;False;False;True;residential;True;True;0;43850
39;36823896.0;2;395000;flat;sale;55;True;1;1;barrio El Raval;Barcelona;Barcelona;es;413.764.742;21.659.211;1219;False;good;False;True;7182;True;False;False;False;False;False;True;urban;False;False;0;8015
40;36877830.0;1;88000;flat;sale;65;False;2;1;Calle Mestre Cases;Lleida;Organyá;es;422.094.599;132.642;19702;False;good;False;False;1354;False;False;False;False;False;False;True;urban;False;False;0;25286
41;36890676.0;2;495000;flat;sale;465;True;4;3;Avenida Rei En Jaume;Castellón;Castellón de la Plana / Castello de la Plana;es;399.880.288;-0.0385158;14028;False;good;False;True;1065;False;False;False;False;False;False;True;urban;True;True;0;12001
42;37139384.0;bj;495000;chalet;sale;260;False;4;3;Calle Santillandi s/n;Vizcaya;Mungia;es;433.242.708;-28.519.197;9492;False;good;False;True;1904;False;False;False;False;False;False;True;residential;True;True;0;48620
43;37278010.0;2;149900;flat;sale;90;False;3;1;Calle del Tejar;Zaragoza;Zaragoza;es;41.633.908;-0.8747023;2472;False;good;False;True;1666;False;False;False;False;False;False;True;urban;False;False;0;50007
44;37315190.0;1;475000;flat;sale;88;True;2;2;Plaza de George Orwell, 1;Barcelona;Barcelona;es;413.805.602;21.776.567;956;True;good;False;True;5398;True;False;False;False;False;False;True;urban;False;False;0;8002
45;37406040.0;6;390000;duplex;sale;98;True;3;2;Paseo de Jaume I;Tarragona;Salou;es;41.077.027;11.377.347;8990;False;good;False;True;3980;True;False;False;False;False;False;True;residential;True;True;0;43840
46;37423710.0;2;285000;flat;sale;63;True;2;2;barrio El Gòtic;Barcelona;Barcelona;es;413.802.156;21.791.571;1073;False;good;False;True;4524;True;False;False;False;False;False;True;urban;False;False;0;8002
47;37523016.0;1;127000;flat;sale;100;True;3;1;Les Borges del Camp;Tarragona;Les Borges del Camp;es;411.721.305;10.206.105;7620;False;good;False;True;1270;False;False;False;False;False;False;True;urban;False;False;0;43350
48;37523024.0;bj;370000;chalet;sale;271;False;4;3;Castellvell del Camp;Tarragona;Castellvell del Camp;es;411.899.541;11.045.208;3916;False;good;False;True;1365;False;False;False;False;False;False;True;urban;True;True;0;43392
